1	258127	258462	336
1	780703	781138	436
1	1160493	1161045	553
1	1525627	1527365	1739
1	2234415	2234946	532
1	2799982	2800665	684
1	3138069	3138450	382
1	3780799	3785686	4888
1	4110416	4110631	216
1	4684870	4685386	517
1	5101259	5101410	152
1	5679495	5681145	1651
1	6198770	6204388	5619
1	6542920	6543492	573
1	7352951	7355530	2580
1	7719979	7720386	408
1	8453675	8454191	517
1	8798208	8812656	14449
1	9014253	9014893	641
1	9679186	9679691	506
1	10347633	10348175	543
1	10594782	10595083	302
1	11150301	11151454	1154
1	11692236	11693448	1213 
1	12010158	12011553	1396
1	12682609	12684874	2266
1	13201268	13202526	1259
1	16306517	16308219	1703
1	17139344	17140392	1049
1	17549216	17550085	870
1	18164480	18164990	511
1	18556855	18557069	215
1	19341026	19341493	468
1	20113869	20126363	12495
1	20983379	20984162	784
1	21293276	21305208	11933
1	21770224	21790599	20376
1	22064903	22065569	667
1	22398729	22398964	236
1	22698517	22698971	455
1	23125437	23126625	1189
1	23511208	23511836	629
1	24276660	24278143	1484
1	24845870	24846402	533
1	25342924	25343624	701
1	25701617	25701850	234
1	26241027	26241559	533
1	26875114	26875370	257
1	27070756	27072286	1531
1	27519835	27520040	206
1	27936632	27936900	269
1	28541185	28542447	1263
1	28845302	28846333	1032
1	29383909	29384337	429
1	30256928	30257589	662
2	569872	570398	527
2	928869	929374	506
2	1753321	1753849	529
2	5856549	5857054	506
2	6342757	6343306	550
2	6931258	6931782	525
2	7357793	7358010	218
2	8042830	8043031	202
2	8562650	8562861	212
2	8922912	8923543	632
2	9338372	9338847	476
2	9699407	9699624	218
2	10094020	10094770	751
2	10599377	10599612	236
2	10886552	10887133	582
2	11562619	11562846	228
2	12099785	12100058	274
2	12548304	12548864	561
2	13429019	13429763	745
2	13915393	13915625	233
2	14417451	14417880	430 
2	15378508	15378898	391
2	16013863	16014467	605
2	16386866	16387289	424
2	16883708	16884046	339
2	17101867	17102565	699
2	17370104	17370260	157
2	18162537	18163117	581
2	18569341	18569516	176
2	19069329	19069887	559
3	558136	558316	181
3	917226	918039	814
3	1535149	1535698	550
3	2260167	2260777	611
3	2921762	2922471	710
3	3120168	3120505	338 
3	3808996	3811297	2302
3	4454323	4454865	543
3	4726910	4727666	757
3	5567718	5568013	296
3	5839559	5840150	592
3	6071069	6072278	1210
3	6372685	6373151	467
3	6992404	6992782	379 
3	7279268	7280024	757
3	7847082	7848191	1110
3	8094713	8095901	1189
3	8845231	8845908	678
3	9438321	9445795	7475
3	10108978	10109483	506
3	10801868	10802504	637
3	14969573	14970240	668
3	15479104	15481403	2300
3	16232090	16232667	578
3	17031766	17032291	526
3	17757212	17757897	686
3	18745262	18745979	718
3	19163318	19163703	386
3	19540114	19540401	288
3	20471830	20473144	1315
3	20780755	20781130	376
3	21001399	21001622	224
3	21408482	21408566	85 
3	22070800	22071644	845
3	22706576	22707703	1128
3	23145745	23146447	703
4	443125	443342	218
4	838177	838399	223
4	1018748	1019728	981
4	1709103	1709707	605
4	5340475	5341488	1014
4	5857878	5862326	4449
4	6377088	6379009	1922
4	6510902	6511427	526
4	7418211	7418871	661
4	7817160	7817739	580
4	8622289	8622872	584
4	9321247	9323339	2093
4	9549304	9551005	1702
4	10531633	10532208	576
4	11046882	11080465	33584
4	11935569	11936371	803
4	12132577	12133184	608
4	12698810	12699037	228
4	12892396	12892606	211
4	13626148	13626908	761
4	14280606	14281694	1089
4	14989436	14989660	225
4	15217852	15218355	504
4	15559813	15560466	654
4	15923523	15923815	293
4	16617679	16618420	742
4	17082310	17082620	311
4	17703063	17703462	400
4	18202215	18202742	528
5	67181	68314	1134
5	485597	485811	215
5	971426	971550	125
5	1666751	1666999	249
5	2186986	2187149	164
5	2979602	2981052	1451
5	3248403	3249933	1531
5	4095403	4095922	520
5	4791615	4793606	1992
5	5097788	5098506	719
5	5774400	5776330	1931
5	6207140	6207406	267 
5	6630755	6632935	2181
5	7513168	7513758	591
5	8207729	8208453	725
5	8929407	8929926	520
5	9272927	9273789	863
5	10108302	10109688	1387
5	10521252	10521864	613
5	14012060	14012630	571
5	14422825	14466754	43930
5	15059396	15060001	606
5	15710889	15712114	1226
5	16281395	16281627	233
5	16825761	16826013	253
5	17102926	17103603	678
5	17911449	17912420	972
5	18507868	18509638	1771
5	18886385	18888696	2312
5	19436294	19436557	264
5	19732899	19733125	227
5	20218609	20219122	514
5	20622369	20648017	25649
5	21174636	21175504	869
5	21547815	21548017	203
5	22019383	22020199	817
5	22848904	22849560	657
5	23448843	23449957	1115
